,info_id,art_id,info
0,0,0,안녕하세요! 가상 현실 전시회 ArtVenture에 오신 것을 진심으로 환영합니다.
1,1,0,이곳에서는 다양한 작품들과 상호작용하며 특별한 경험을 하실 수 있습니다.
2,2,0,주변을 자유롭게 탐험하시면서 작품들과 소통해 보세요.
3,3,0,궁금한 점이나 도움이 필요하시면 언제든지 저에게 말씀해 주세요.
4,4,0,가상의 세계에서 멋진 시간을 보내시길 바랍니다!
5,5,0,
6,6,0,
7,7,0,
8,8,0,
9,9,0,
10,10,1,1번 작품 설명입니다
11,11,1,1번 작품의 1번 질문 대답입니다
12,12,1,1번 작품의 2번 질문 대답입니다
13,13,1,1번 작품의 3번 질문 대답입니다
14,14,1,1번 작품의 4번 질문 대답입니다
15,15,1,
16,16,1,
17,17,1,
18,18,1,
19,19,1,
20,20,2,2번 작품 설명입니다
21,21,2,2번 작품의 1번 질문 대답입니다
22,22,2,2번 작품의 2번 질문 대답입니다
23,23,2,2번 작품의 3번 질문 대답입니다
24,24,2,2번 작품의 4번 질문 대답입니다
25,25,2,
26,26,2,
27,27,2,
28,28,2,
29,29,2,
30,30,3,3번 작품 설명입니다
31,31,3,3번 작품의 1번 질문 대답입니다
32,32,3,3번 작품의 2번 질문 대답입니다
33,33,3,3번 작품의 3번 질문 대답입니다
34,34,3,3번 작품의 4번 질문 대답입니다
35,35,3,
36,36,3,
37,37,3,
38,38,3,
39,39,3,
40,40,4,4번 작품 설명입니다
41,41,4,4번 작품의 1번 질문 대답입니다
42,42,4,4번 작품의 2번 질문 대답입니다
43,43,4,4번 작품의 3번 질문 대답입니다
44,44,4,4번 작품의 4번 질문 대답입니다
45,45,4,
46,46,4,
47,47,4,
48,48,4,
49,49,4,
50,50,0,안녕하세요! 현재 전시를 탐색하는 데 도움이 필요하신가요?
51,51,0,"혹시 전시를 어떻게 탐색해야 할지 모르시겠다면, 작품 주변을 돌아다니거나 클릭해 보세요. 이곳에서는 다양한 상호작용이 가능하답니다."
52,52,0,잠시 멈추셨군요. 이 전시회에서는 다양한 방식으로 작품과 상호작용할 수 있어요.
53,53,0,이 전시회는 탐색과 상호작용을 통해 재미있는 체험을 제공합니다. 작품을 클릭하거나 가까이 가서 다양한 기능을 시도해 보세요.
54,54,0,
55,55,0,도움이 필요하시면 저에게 언제든지 말씀해 주세요.
56,56,0,작품 관람에 도움이 필요하시거나 더 알아보고 싶은 부분이 있으면 언제든지 말씀해 주세요.
57,57,0,
58,58,0,
59,59,0,